objectId,createdOn,submitterId,RF_average,Triples_average,Rank
9698544,02.06.20 21:02,Yosef Lab,0.59525,0.57049,1
9697564,01/13/2020 4:45 PM,Yuanfang Guan and Hanrui Zhang,0.574316667,0.572463333,1
9698512,02.05.20 23:02,@Jasper06,0.594443333,0.609993333,1
9697631,01/14/2020 11:54 PM,@philrennert,0.55176,0.708693333,2
9698170,01/30/2020 8:22 PM,@RnILabs,0.664373333,0.634283333,3
9698491,02.05.20 16:37,AMbeRland,0.495403333,0.822416667,4
9698564,02.07.20 01:12,WhatATeam-CL,0.62536,0.807973333,5
9698189,01/31/2020 3:18 AM,SanGuo1,0.819126667,0.79317,6
9698945,02.12.20 20:35,Bengal-tiger,0.93803,0.93393,7
